Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,60222,80,1717489764.8299184,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60222,80,1717489764.8299184,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60222,80,1717489764.8305812,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44569,80,1717489764.8305817,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44569,80,1717489764.830995,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44569,80,1717489764.8309953,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44569,80,1717489764.832146,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59763,80,1717489764.8321462,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59763,80,1717489764.8321462,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59763,80,1717489764.8321462,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59763,80,1717489764.8321466,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56118,80,1717489764.8321466,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56118,80,1717489764.8327053,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56118,80,1717489764.8327057,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56118,80,1717489764.83309,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37177,80,1717489764.8330903,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37177,80,1717489764.8336096,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37177,80,1717489764.8336098,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37177,80,1717489764.8340437,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51062,80,1717489764.834044,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51062,80,1717489764.8340442,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51062,80,1717489764.8340442,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,51062,80,1717489764.8346624,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38918,80,1717489764.8346627,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38918,80,1717489764.8349714,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38918,80,1717489764.834972,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38918,80,1717489764.8353717,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60819,80,1717489764.835372,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60819,80,1717489764.8353722,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60819,80,1717489764.8353722,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60819,80,1717489764.8361924,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52189,80,1717489764.8361926,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52189,80,1717489764.8361926,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52189,80,1717489764.8361928,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52189,80,1717489764.8369238,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41665,80,1717489764.836924,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41665,80,1717489764.8373132,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41665,80,1717489764.8373134,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41665,80,1717489764.8381212,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40994,80,1717489764.838122,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40994,80,1717489764.838122,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40994,80,1717489764.8381221,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40994,80,1717489764.8385983,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38247,80,1717489764.8385985,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38247,80,1717489764.8385985,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38247,80,1717489764.8385987,,UDP Flood,3232270729,3232270731
