Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.139,34.98.75.36,1,54,48290,443,1717495276.2960467,16.0,Other,3232270731,576867108
192.168.137.139,34.160.144.191,1,93,51202,443,1717495277.289401,24.0,Other,3232270731,580948159
192.168.137.139,34.160.144.191,1,78,51202,443,1717495277.290539,24.0,Other,3232270731,580948159
192.168.137.139,34.160.144.191,1,54,51202,443,1717495277.290822,17.0,Other,3232270731,580948159
34.160.144.191,192.168.137.139,1,60,443,51202,1717495277.2917995,16.0,Other,580948159,3232270731
34.160.144.191,192.168.137.139,1,60,443,51202,1717495277.2917998,16.0,Other,580948159,3232270731
34.160.144.191,192.168.137.139,1,60,443,51202,1717495277.2917998,16.0,Other,580948159,3232270731
34.160.144.191,192.168.137.139,1,60,443,51202,1717495277.2976565,25.0,Other,580948159,3232270731
192.168.137.139,34.160.144.191,1,54,51202,443,1717495277.2976868,16.0,Other,3232270731,580948159
192.168.137.137,192.168.137.139,1,74,38156,80,1717495280.7641423,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,38156,1717495280.764181,20.0,Other,3232270731,3232270729
192.168.137.139,34.107.243.93,1,82,51464,443,1717495281.090928,24.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51464,1717495281.091816,16.0,Other,577499997,3232270731
192.168.137.139,192.168.137.2,1,78,36814,53,1717495281.1379244,2.0,Other,3232270731,3232270594
192.168.137.139,34.120.208.123,1,201,59244,443,1717495281.1388502,24.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,1171,59244,443,1717495281.1390698,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,59244,1717495281.139291,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,59244,1717495281.139291,16.0,Other,578343035,3232270731
192.168.137.2,192.168.137.139,1,60,53,36814,1717495281.1414795,18.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,54,36814,53,1717495281.1415365,16.0,Other,3232270731,3232270594
192.168.137.139,192.168.137.2,1,104,36814,53,1717495281.1426702,24.0,Other,3232270731,3232270594
192.168.137.2,192.168.137.139,1,60,53,36814,1717495281.1429923,16.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,104,36814,53,1717495281.1430202,24.0,Other,3232270731,3232270594
192.168.137.2,192.168.137.139,1,60,53,36814,1717495281.1437361,16.0,Other,3232270594,3232270731
192.168.137.2,192.168.137.139,1,179,53,36814,1717495281.1462462,24.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,54,36814,53,1717495281.1462972,16.0,Other,3232270731,3232270594
192.168.137.2,192.168.137.139,1,248,53,36814,1717495281.1491,24.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,54,36814,53,1717495281.149141,16.0,Other,3232270731,3232270594
192.168.137.139,192.168.137.2,1,119,36814,53,1717495281.1525369,24.0,Other,3232270731,3232270594
192.168.137.2,192.168.137.139,1,60,53,36814,1717495281.1530206,16.0,Other,3232270594,3232270731
192.168.137.2,192.168.137.139,1,204,53,36814,1717495281.1562548,24.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,54,36814,53,1717495281.1974607,16.0,Other,3232270731,3232270594
34.107.243.93,192.168.137.139,1,78,443,51464,1717495281.2115018,25.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,78,51464,443,1717495281.2143095,24.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51464,1717495281.2149513,16.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,54,51464,443,1717495281.215082,17.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51464,1717495281.2154462,16.0,Other,577499997,3232270731
192.168.137.139,34.120.208.123,1,93,59244,443,1717495281.230276,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,59244,1717495281.230677,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,78,59244,443,1717495281.2313294,24.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,54,59244,443,1717495281.23175,17.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,59244,1717495281.2321389,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,59244,1717495281.232139,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,59244,1717495281.2368457,25.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,59244,443,1717495281.2369022,16.0,Other,3232270731,578343035
192.168.137.139,192.168.137.2,1,119,36814,53,1717495282.3550055,24.0,Other,3232270731,3232270594
192.168.137.2,192.168.137.139,1,60,53,36814,1717495282.3555572,16.0,Other,3232270594,3232270731
192.168.137.2,192.168.137.139,1,204,53,36814,1717495282.3574636,24.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,54,36814,53,1717495282.3584304,16.0,Other,3232270731,3232270594
192.168.137.139,34.120.208.123,1,74,52974,443,1717495282.364045,2.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.3696811,18.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.3729444,16.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,571,52974,443,1717495282.6622863,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.6629896,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,1436,443,52974,1717495282.671515,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.6716564,16.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,1436,443,52974,1717495282.6770978,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.6771452,16.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,818,443,52974,1717495282.678367,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.6784577,16.0,Other,3232270731,578343035
